data_id,language,form,age,gender,mom_ed,comprehension,production
87094,English (British),TEDS Twos,24,Female,Some Secondary,69,69
87095,English (British),TEDS Twos,24,Male,Secondary,19,19
87096,English (British),TEDS Twos,24,Female,Secondary,31,31
87097,English (British),TEDS Twos,23,Male,Some Secondary,42,42
87098,English (British),TEDS Twos,23,Male,Some Secondary,45,45
87099,English (British),TEDS Twos,22,Male,Graduate,67,67
87100,English (British),TEDS Twos,22,Female,Graduate,68,68
87101,English (British),TEDS Twos,24,Male,Some Secondary,7,7
87102,English (British),TEDS Twos,24,Male,Some Secondary,4,4
87103,English (British),TEDS Twos,25,Male,Some Secondary,26,26
87104,English (British),TEDS Twos,25,Female,Some Secondary,23,23
87105,English (British),TEDS Twos,24,Male,Some Secondary,45,45
87106,English (British),TEDS Twos,24,Male,Some Secondary,44,44
87107,English (British),TEDS Twos,24,Male,Secondary,39,39
87108,English (British),TEDS Twos,24,Male,Secondary,50,50
87109,English (British),TEDS Twos,24,Female,Primary,76,76
87110,English (British),TEDS Twos,24,Female,Primary,77,77
87111,English (British),TEDS Twos,24,Male,Some Secondary,41,41
87112,English (British),TEDS Twos,24,Male,Some Secondary,42,42
87113,English (British),TEDS Twos,24,Female,Some Secondary,48,48
87114,English (British),TEDS Twos,24,Female,Some Secondary,47,47
87115,English (British),TEDS Twos,24,Female,Primary,65,65
87116,English (British),TEDS Twos,24,Male,Primary,71,71
87117,English (British),TEDS Twos,24,Male,Secondary,50,50
87118,English (British),TEDS Twos,23,Female,Secondary,58,58
87119,English (British),TEDS Twos,24,Male,Secondary,32,32
87120,English (British),TEDS Twos,24,Female,Secondary,46,46
87121,English (British),TEDS Twos,23,Male,Some Secondary,17,17
87122,English (British),TEDS Twos,24,Male,Some Secondary,21,21
87123,English (British),TEDS Twos,24,Male,Some Secondary,25,25
87124,English (British),TEDS Twos,24,Female,Some Secondary,28,28
87125,English (British),TEDS Twos,24,Male,Some Secondary,61,61
87126,English (British),TEDS Twos,24,Female,Some Secondary,62,62
87127,English (British),TEDS Twos,27,Male,Primary,80,80
87128,English (British),TEDS Twos,25,Male,Primary,64,64
87129,English (British),TEDS Twos,25,Female,Some Secondary,24,24
87130,English (British),TEDS Twos,24,Female,Some Secondary,25,25
87131,English (British),TEDS Twos,23,Female,Primary,37,37
87132,English (British),TEDS Twos,23,Female,Primary,41,41
87133,English (British),TEDS Twos,24,Female,College,15,15
87134,English (British),TEDS Twos,24,Male,College,15,15
87135,English (British),TEDS Twos,23,Male,Secondary,38,38
